id,observed_on,time_observed_at,url,image_url,description,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
12936,2004-06-01,,http://www.inaturalist.org/observations/12936,http://static.inaturalist.org/photos/25353/medium.JPG,"Black bear observed near Pemberton, B.C., Canada",50.321014,-122.799956,Ours Noir,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
23391,2011-05-11,,http://www.inaturalist.org/observations/23391,https://inaturalist-open-data.s3.amazonaws.com/photos/42260/medium.jpg,Location is not exact.,49.16442025,-125.8641815,Ours Noir,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
90030,2012-05-12,,http://www.inaturalist.org/observations/90030,http://static.inaturalist.org/photos/131384/medium.JPG,,57.2077101,-130.2978516,Ours Noir,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
90031,2012-05-12,,http://www.inaturalist.org/observations/90031,http://static.inaturalist.org/photos/131385/medium.JPG,,58.32102987,-130.1660156,Ours Noir,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
90032,2012-05-12,,http://www.inaturalist.org/observations/90032,http://static.inaturalist.org/photos/131386/medium.JPG,,58.59688655,-130.0341797,Ours Noir,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
132001,2011-08-17,,http://www.inaturalist.org/observations/132001,https://inaturalist-open-data.s3.amazonaws.com/photos/185204/medium.JPG,Black bear.  Spotted last summer while hiking on Grouse mountain above the grind. Not far from the main lodge. ,49.37647107,-123.0790731,Ours Noir,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
350941,2008-10-26,2008-10-26 22:12:58 UTC,http://www.inaturalist.org/observations/350941,https://inaturalist-open-data.s3.amazonaws.com/photos/437400/medium.JPG,"This black bear was spotted and reported to the authorities and was later shot out of the tree.

A few days later the City removed the tree.",53.889986,-122.782671,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
501962,2012-06-16,,http://www.inaturalist.org/observations/501962,https://inaturalist-open-data.s3.amazonaws.com/photos/638896/medium.jpg,,59.287981,-125.937653,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
544064,2012-06-13,,http://www.inaturalist.org/observations/544064,https://inaturalist-open-data.s3.amazonaws.com/photos/691747/medium.jpg,,56.314728,-120.990415,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
732344,2014-04-18,2014-04-18 22:32:22 UTC,http://www.inaturalist.org/observations/732344,http://static.inaturalist.org/photos/920172/medium.jpg,,50.090191,-117.460381,American Black Bear,Ursus americanus,American Black Bear,Mammalia,41638,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ursidae,Ursinae,,,,Ursus,,Ursus americanus,,,,
